name,city,type,beercount,est,status,url
Westbend Vineyards & Brewery,Lewisville,Microbrewery,12,2013,Active,https://www.ratebeer.com//brewers/westbend-vineyards-brewery/17142/
White Street Brewing Company,Wake Forest,Microbrewery,29,2012,Active,https://www.ratebeer.com//brewers/white-street-brewing-company/15333/
Wicked Weed Brewing (AB-InBev),Asheville,Brewpub,424,2012,Active,https://www.ratebeer.com//brewers/wicked-weed-brewing-ab-inbev/15842/
Wilmington Brewing Company,Wilmington,Microbrewery,12,2015,Active,https://www.ratebeer.com//brewers/wilmington-brewing-company/22843/
Winding Creek Brewing Company,Columbus,Microbrewery,9,2017,Active,https://www.ratebeer.com//brewers/winding-creek-brewing-company/30338/
Wise Man Brewing,Winston-Salem,Microbrewery,23,2017,Active,https://www.ratebeer.com//brewers/wise-man-brewing/30121/
Wooden Robot Brewery,Charlotte,Microbrewery,94,2015,Active,https://www.ratebeer.com//brewers/wooden-robot-brewery/23461/
Wrightsville Beach Brewery,Wilmington,Brewpub/Brewery,13,2017,Active,https://www.ratebeer.com//brewers/wrightsville-beach-brewery/32717/
Yester Years Brewery,Carrboro,Microbrewery,11,2015,Active,https://www.ratebeer.com//brewers/yester-years-brewery/23427/
York Chester Brewing Company,Belmont,Microbrewery,8,2016,Active,https://www.ratebeer.com//brewers/york-chester-brewing-company/29769/
Zebulon Artisan Ales,Weaverville,Microbrewery,47,2016,Active,https://www.ratebeer.com//brewers/zebulon-artisan-ales/26278/
Altamont Brewing Company,Asheville,Brewpub/Brewery,20,2013,Closed,https://www.ratebeer.com//brewers/altamont-brewing-company/16026/
Apex Brewing Company,Apex,Microbrewery,1,2004,Closed,https://www.ratebeer.com//brewers/apex-brewing-company/4858/
Azalea Coast Brewing Company,Wilmington,Microbrewery,9,2006,Closed,https://www.ratebeer.com//brewers/azalea-coast-brewing-company/7820/
Basic Brewery,Hendersonville,Microbrewery,13,2016,Closed,https://www.ratebeer.com//brewers/basic-brewery/26820/
BlackJack Brewing Company,Raleigh,Microbrewery,4,2015,Closed,https://www.ratebeer.com//brewers/blackjack-brewing-company/23414/
Carolina Beer Company,Mooresville,Client Brewer,23,1997,Closed,https://www.ratebeer.com//brewers/carolina-beer-company/1559/
Chesapeake Bay Brewing (formerly Rock Creek),Raleigh ,Microbrewery,14,1999,Closed,https://www.ratebeer.com//brewers/chesapeake-bay-brewing-formerly-rock-creek/152/
Craggie Brewing Company,Asheville,Microbrewery,30,2009,Closed,https://www.ratebeer.com//brewers/craggie-brewing-company/10188/
Draft Line Brewing,Fuquay-Varina,Microbrewery,19,2014,Closed,https://www.ratebeer.com//brewers/draft-line-brewing/20038/
Edenton Brewing Company,Raleigh,Microbrewery,9,1900,Closed,https://www.ratebeer.com//brewers/edenton-brewing-company/11509/
First Coast Brewing,Wilmington,Microbrewery,2,1994,Closed,https://www.ratebeer.com//brewers/first-coast-brewing/2566/
Four Friends Brewing,Charlotte,Microbrewery,11,2009,Closed,https://www.ratebeer.com//brewers/four-friends-brewing/10388/
G2B Gastropub & Brewery,Durham,Brewpub/Brewery,18,2015,Closed,https://www.ratebeer.com//brewers/g2b-gastropub-brewery/23185/
Greenshields Brewery & Pub,Raleigh,Microbrewery,15,1999,Closed,https://www.ratebeer.com//brewers/greenshields-brewery-pub/570/
Hams Restaurant & Brewhouse,Greenville,Brewpub,26,2003,Closed,https://www.ratebeer.com//brewers/hams-restaurant-brewhouse/3974/
Heinzelmannchen Brewery,Sylva,Microbrewery,18,2005,Closed,https://www.ratebeer.com//brewers/heinzelmannchen-brewery/6342/
High Tide Brewing Company,Jacksonville,Brewpub/Brewery,4,2014,Closed,https://www.ratebeer.com//brewers/high-tide-brewing-company/20015/
Hosanna Brewing Company,Fuqauy Varina,Brewpub,12,2013,Closed,https://www.ratebeer.com//brewers/hosanna-brewing-company/18143/
Jack of the Wood Brewpub,Asheville,Brewpub,13,2004,Closed,https://www.ratebeer.com//brewers/jack-of-the-wood-brewpub/14806/
Loe's Brewing Company (Hickory),Hickory,Microbrewery,6,2010,Closed,https://www.ratebeer.com//brewers/loes-brewing-company-hickory/11984/
Sweet Taters,Rocky Mount,Brewpub/Brewery,9,2016,Closed,https://www.ratebeer.com//brewers/sweet-taters/28628/
Triangle Brewing Company,Durham,Microbrewery,21,2007,Closed,https://www.ratebeer.com//brewers/triangle-brewing-company/8726/
White Rabbit Brewing (NC),Angier,Microbrewery,19,2013,Closed,https://www.ratebeer.com//brewers/white-rabbit-brewing-nc/16217/
Williamsville Brewery (formerly Wilmington Brewing),Farmville,Brewpub,5,2e3,Closed,https://www.ratebeer.com//brewers/williamsville-brewery-formerly-wilmington-brewing/3009/
Wolf Beer Company,Wilmington,Client Brewer,2,2009,Closed,https://www.ratebeer.com//brewers/wolf-beer-company/11039/
